Filename,Predictions,Probability(%)
test/H1_00EkrPlETF_spectrogram_2.0.png,koi_fish,100.0
test/H1_017BiNepgE_spectrogram_2.0.png,blip,99.999855
test/H1_02bQL8a3oy_spectrogram_2.0.png,blip,99.990776
test/H1_02r7PgJFWL_spectrogram_2.0.png,blip,98.939415
test/H1_03j7aXVJM5_spectrogram_2.0.png,no_glitch,92.61189
test/H1_04j0W4zBOb_spectrogram_2.0.png,blip,99.99502
test/H1_05MqkKY6Rk_spectrogram_2.0.png,blip,99.837875
test/H1_05go1xg59b_spectrogram_2.0.png,blip,99.8047
test/H1_06KLOH7J6x_spectrogram_2.0.png,blip,99.96598
test/H1_07CiWjTCiO_spectrogram_2.0.png,no_glitch,99.28618
test/H1_07oRXyx8Ec_spectrogram_2.0.png,blip,99.924
test/H1_08APXWraeY_spectrogram_2.0.png,koi_fish,98.752625
test/H1_094t7wnWlZ_spectrogram_2.0.png,power_line,99.99691
test/H1_09Dob5ZyVa_spectrogram_2.0.png,scattered_light,100.0
test/H1_09ty1J8mPl_spectrogram_2.0.png,low_frequency_lines,99.995
test/H1_0Bdrl9wPy3_spectrogram_2.0.png,blip,99.99269
test/H1_0E8Tn4h7k9_spectrogram_2.0.png,power_line,99.99998
test/H1_0EHvx1Olwj_spectrogram_2.0.png,extremely_loud,65.92602
test/H1_0GZ0Um3zzw_spectrogram_2.0.png,low_frequency_burst,98.4461
test/H1_0Gho8Fpqgt_spectrogram_2.0.png,blip,93.25615
test/H1_0H27ffyt60_spectrogram_2.0.png,blip,99.92857
test/H1_0HxLbFX6hr_spectrogram_2.0.png,koi_fish,86.276955
test/H1_0IWvYmObfv_spectrogram_2.0.png,blip,44.45439
test/H1_0IlDtspy9k_spectrogram_2.0.png,blip,37.341404
test/H1_0LNwbm9vPq_spectrogram_2.0.png,scattered_light,99.999825
test/H1_0LQ5vLEBRC_spectrogram_2.0.png,low_frequency_lines,89.9971
test/H1_0LVAL3fxO6_spectrogram_2.0.png,koi_fish,99.95466
test/H1_0M4zfXleVR_spectrogram_2.0.png,koi_fish,87.33891
test/H1_0NBekq7n54_spectrogram_2.0.png,koi_fish,99.99754
test/H1_0ONavKx7a7_spectrogram_2.0.png,power_line,99.23597
test/H1_0QOUM6EJce_spectrogram_2.0.png,blip,53.85314
test/H1_0QjLuKeJvV_spectrogram_2.0.png,power_line,84.433395
test/H1_0RfvOicQau_spectrogram_2.0.png,blip,99.96647
test/H1_0TNlunzbAI_spectrogram_2.0.png,no_glitch,99.85961
test/H1_0Ted9bxWAG_spectrogram_2.0.png,scattered_light,100.0
test/H1_0TnZj6skbc_spectrogram_2.0.png,blip,99.908936
test/H1_0TxbihMRw8_spectrogram_2.0.png,power_line,100.0
test/H1_0UI8BHwSEz_spectrogram_2.0.png,low_frequency_burst,99.99231
test/H1_0WXDmnjwFX_spectrogram_2.0.png,whistle,100.0
test/H1_0Wkf0k7vaj_spectrogram_2.0.png,blip,99.97172
test/H1_0X4VpS57bs_spectrogram_2.0.png,koi_fish,99.491356
test/H1_0X7Yj90rXc_spectrogram_2.0.png,koi_fish,96.27782
test/H1_0XeXAwme67_spectrogram_2.0.png,whistle,82.19854
test/H1_0YTLlFAEKg_spectrogram_2.0.png,blip,99.98857
test/H1_0Z3nLItwEW_spectrogram_2.0.png,scratchy,99.975876
test/H1_0ZEMgwTX9j_spectrogram_2.0.png,blip,99.83588
test/H1_0ZGcigamqD_spectrogram_2.0.png,no_glitch,88.43045
test/H1_0ZSshuOQmx_spectrogram_2.0.png,blip,95.94631
test/H1_0Zs3H2YUhE_spectrogram_2.0.png,low_frequency_burst,99.999954
test/H1_0a4jJojYry_spectrogram_2.0.png,koi_fish,58.140667
test/H1_0aKSPOQPfF_spectrogram_2.0.png,koi_fish,99.36176
test/H1_0e5Dy4nVSy_spectrogram_2.0.png,low_frequency_burst,99.99933
test/H1_0fp5wZUWD7_spectrogram_2.0.png,chirp,98.11278
test/H1_0fqhxrMSdU_spectrogram_2.0.png,blip,99.972015
test/H1_0iQMjI8AXR_spectrogram_2.0.png,koi_fish,99.99996
