Filename,Predictions,Probability(%)
test/H1_00EkrPlETF_spectrogram_2.0.png,koi_fish,99.97822
test/H1_017BiNepgE_spectrogram_2.0.png,blip,94.85787
test/H1_02bQL8a3oy_spectrogram_2.0.png,blip,99.69506
test/H1_02r7PgJFWL_spectrogram_2.0.png,blip,98.27723
test/H1_03j7aXVJM5_spectrogram_2.0.png,whistle,77.86752
test/H1_04j0W4zBOb_spectrogram_2.0.png,blip,81.150665
test/H1_05MqkKY6Rk_spectrogram_2.0.png,blip,91.785255
test/H1_05go1xg59b_spectrogram_2.0.png,repeating_blips,54.324787
test/H1_06KLOH7J6x_spectrogram_2.0.png,blip,90.52207
test/H1_07CiWjTCiO_spectrogram_2.0.png,no_glitch,64.86203
test/H1_07oRXyx8Ec_spectrogram_2.0.png,blip,91.11203
test/H1_08APXWraeY_spectrogram_2.0.png,koi_fish,99.79862
test/H1_094t7wnWlZ_spectrogram_2.0.png,power_line,99.50702
test/H1_09Dob5ZyVa_spectrogram_2.0.png,scattered_light,95.84166
test/H1_09ty1J8mPl_spectrogram_2.0.png,low_frequency_lines,99.81629
test/H1_0Bdrl9wPy3_spectrogram_2.0.png,blip,66.74212
test/H1_0E8Tn4h7k9_spectrogram_2.0.png,power_line,99.89083
test/H1_0EHvx1Olwj_spectrogram_2.0.png,helix,98.39701
test/H1_0GZ0Um3zzw_spectrogram_2.0.png,low_frequency_burst,96.73265
test/H1_0Gho8Fpqgt_spectrogram_2.0.png,blip,86.13498
test/H1_0H27ffyt60_spectrogram_2.0.png,blip,91.14534
test/H1_0HxLbFX6hr_spectrogram_2.0.png,koi_fish,94.357994
test/H1_0IWvYmObfv_spectrogram_2.0.png,extremely_loud,88.90817
test/H1_0IlDtspy9k_spectrogram_2.0.png,blip,72.50993
test/H1_0LNwbm9vPq_spectrogram_2.0.png,scattered_light,80.00574
test/H1_0LQ5vLEBRC_spectrogram_2.0.png,low_frequency_burst,56.31321
test/H1_0LVAL3fxO6_spectrogram_2.0.png,koi_fish,99.89736
test/H1_0M4zfXleVR_spectrogram_2.0.png,koi_fish,99.63547
test/H1_0NBekq7n54_spectrogram_2.0.png,koi_fish,99.99994
test/H1_0ONavKx7a7_spectrogram_2.0.png,power_line,99.98109
test/H1_0QOUM6EJce_spectrogram_2.0.png,koi_fish,63.120155
test/H1_0QjLuKeJvV_spectrogram_2.0.png,power_line,74.09955
test/H1_0RfvOicQau_spectrogram_2.0.png,blip,97.65455
test/H1_0TNlunzbAI_spectrogram_2.0.png,no_glitch,92.02374
test/H1_0Ted9bxWAG_spectrogram_2.0.png,scattered_light,99.92072
test/H1_0TnZj6skbc_spectrogram_2.0.png,blip,55.68161
test/H1_0TxbihMRw8_spectrogram_2.0.png,power_line,99.999916
test/H1_0UI8BHwSEz_spectrogram_2.0.png,low_frequency_burst,99.24379
test/H1_0WXDmnjwFX_spectrogram_2.0.png,whistle,99.996056
test/H1_0Wkf0k7vaj_spectrogram_2.0.png,blip,99.71266
test/H1_0X4VpS57bs_spectrogram_2.0.png,koi_fish,94.537926
test/H1_0X7Yj90rXc_spectrogram_2.0.png,koi_fish,99.986244
test/H1_0XeXAwme67_spectrogram_2.0.png,blip,48.326748
test/H1_0YTLlFAEKg_spectrogram_2.0.png,blip,91.08117
test/H1_0Z3nLItwEW_spectrogram_2.0.png,scratchy,85.65372
test/H1_0ZEMgwTX9j_spectrogram_2.0.png,blip,95.28249
test/H1_0ZGcigamqD_spectrogram_2.0.png,no_glitch,81.35733
test/H1_0ZSshuOQmx_spectrogram_2.0.png,koi_fish,49.93631
test/H1_0Zs3H2YUhE_spectrogram_2.0.png,low_frequency_burst,90.83113
test/H1_0a4jJojYry_spectrogram_2.0.png,koi_fish,88.291435
